"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","American Samoa"
"5","Andorra"
"6","Angola"
"7","Anguilla"
"8","Antarctica"
"9","Antigua And Barbuda"
"10","Argentina"
"11","Armenia"
"12","Aruba"
"13","Australia"
"14","Austria"
"15","Azerbaijan"
"16","Bahamas The"
"17","Bahrain"
"18","Bangladesh"
"19","Barbados"
"20","Belarus"
"21","Belgium"
"22","Belize"
"23","Benin"
"24","Bermuda"
"25","Bhutan"
"26","Bolivia"
"27","Bosnia and Herzegovina"
"28","Botswana"
"29","Bouvet Island"
"30","Brazil"
"31","British Indian Ocean Territory"
"32","Brunei"
"33","Bulgaria"
"34","Burkina Faso"
"35","Burundi"
"36","Cambodia"
"37","Cameroon"
"38","Canada"
"39","Cape Verde"
"40","Cayman Islands"
"41","Central African Republic"
"42","Chad"
"43","Chile"
"44","China"
"45","China (Hong Kong S.A.R.)"
"46","China (Macau S.A.R.)"
"47","Christmas Island"
"48","Cocos (Keeling) Islands"
"49","Colombia"
"50","Comoros"
"51","Congo"
"52","Congo  Democractic Republic of the"
"53","Cook Islands"
"54","Costa Rica"
"55","Cote D'Ivoire (Ivory Coast)"
"56","Croatia (Hrvatska)"
"57","Cuba"
"58","Cyprus"
"59","Czech Republic"
"60","Denmark"
"61","Djibouti"
"62","Dominica"
"63","Dominican Republic"
"64","East Timor"
"65","Ecuador"
"66","Egypt"
"67","El Salvador"
"68","Equatorial Guinea"
"69","Eritrea"
"70","Estonia"
"71","Ethiopia"
"72","Falkland Islands (Islas Malvinas)"
"73","Faroe Islands"
"74","Fiji Islands"
"75","Finland"
"76","France"
"77","French Guiana"
"78","French Polynesia"
"79","French Southern Territories"
"80","Gabon"
"81","Gambia The"
"82","Georgia"
"83","Germany"
"84","Ghana"
"85","Gibraltar"
"86","Greece"
"87","Greenland"
"88","Grenada"
"89","Guadeloupe"
"90","Guam"
"91","Guatemala"
"92","Guinea"
"93","Guinea-Bissau"
"94","Guyana"
"95","Haiti"
"96","Heard and McDonald Islands"
"97","Honduras"
"98","Hungary"
"99","Iceland"
"100","India"
"101","Indonesia"
"102","Iran"
"103","Iraq"
"104","Ireland"
"105","Israel"
"106","Italy"
"107","Jamaica"
"108","Japan"
"109","Jordan"
"110","Kazakhstan"
"111","Kenya"
"112","Kiribati"
"113","Korea"
"114","Korea North"
"115","Kuwait"
"116","Kyrgyzstan"
"117","Laos"
"118","Latvia"
"119","Lebanon"
"120","Lesotho"
"121","Liberia"
"122","Libya"
"123","Liechtenstein"
"124","Lithuania"
"125","Luxembourg"
"126","Macedonia"
"127","Madagascar"
"128","Malawi"
"129","Malaysia"
"130","Maldives"
"131","Mali"
"132","Malta"
"133","Marshall Islands"
"134","Martinique"
"135","Mauritania"
"136","Mauritius"
"137","Mayotte"
"138","Mexico"
"139","Micronesia"
"140","Moldova"
"141","Monaco"
"142","Mongolia"
"143","Montserrat"
"144","Morocco"
"145","Mozambique"
"146","Myanmar"
"147","Namibia"
"148","Nauru"
"149","Nepal"
"150","Netherlands Antilles"
"151","Netherlands The"
"152","New Caledonia"
"153","New Zealand"
"154","Nicaragua"
"155","Niger"
"156","Nigeria"
"157","Niue"
"158","Norfolk Island"
"159","Northern Mariana Islands"
"160","Norway"
"161","Oman"
"162","Pakistan"
"163","Palau"
"164","Panama"
"165","Papua new Guinea"
"166","Paraguay"
"167","Peru"
"168","Philippines"
"169","Pitcairn Island"
"170","Poland"
"171","Portugal"
"172","Puerto Rico"
"173","Qatar"
"174","Reunion"
"175","Romania"
"176","Russia"
"177","Rwanda"
"178","Saint Helena"
"179","Saint Kitts And Nevis"
"180","Saint Lucia"
"181","Saint Pierre and Miquelon"
"182","Saint Vincent And The Grenadines"
"183","Samoa"
"184","San Marino"
"185","Sao Tome and Principe"
"186","Saudi Arabia"
"187","Senegal"
"188","Seychelles"
"189","Sierra Leone"
"190","Singapore"
"191","Slovakia"
"192","Slovenia"
"193","Solomon Islands"
"194","Somalia"
"195","South Africa"
"196","South Georgia"
"197","Spain"
"198","Sri Lanka"
"199","Sudan"
"200","Suriname"
"201","Svalbard And Jan Mayen Islands"
"202","Swaziland"
"203","Sweden"
"204","Switzerland"
"205","Syria"
"206","Taiwan"
"207","Tajikistan"
"208","Tanzania"
"209","Thailand"
"210","Togo"
"211","Tokelau"
"212","Tonga"
"213","Trinidad And Tobago"
"214","Tunisia"
"215","Turkey"
"216","Turkmenistan"
"217","Turks And Caicos Islands"
"218","Tuvalu"
"219","Uganda"
"220","Ukraine"
"221","United Arab Emirates"
"222","United Kingdom"
"223","United States"
"224","United States Minor Outlying Islands"
"225","Uruguay"
"226","Uzbekistan"
"227","Vanuatu"
"228","Vatican City State (Holy See)"
"229","Venezuela"
"230","Vietnam"
"231","Virgin Islands (British)"
"232","Virgin Islands (US)"
"233","Wallis And Futuna Islands"
"234","Western Sahara"
"235","Yemen"
"236","Yugoslavia"
"237","Zambia"
"238","Zimbabwe"
